ID,Cohort,Age,Acert,Year,Capture,Exclude,Treatment,Mass,Leg,Teeth,Repro,Parturition,PYsex,PYid,SurvLPY,SurvWN,PYLastObs,PYFound,Dead,HRDead,CaptDay,AgeC,CohortStart,CohortDay,Cond,PCond,PMass,mGain,Eff,PEff,DaysObs,xMed,indVeg7,indDens7,indWin7,indVeg21,indDens21,indWin21,mLeg,mMass,mMGain,mCond,nFem,nka,nSA,nPrime,PropPrime,Ratio,PRatio
1072,2016,4,1,2020,NA,0,NA,NA,NA,NA,1,NA,1,1279,1,1,2021-11-30,03-2022,NA,NA,NA,3,2019-08-01,NA,NA,-0.8317356844964406,23.5,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,529.2368421052631,26.63157894736842,0.7916666666666666,-0.1076177945333582,108,73,33,39,0.5342465753424658,0.3055555555555556,0.3391304347826087
1072,2016,5,1,2021,2021-10-06,0,0,25.25,532,NA,1,NA,NA,NA,0,0,2021-03-31,10-2021,NA,NA,279,3,2020-08-01,NA,-0.8320851505905993,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,527.4727272727273,26.436363636363637,0.6214285714285714,-0.11304735936777774,104,75,28,39,0.52,0.2692307692307692,0.3055555555555556
1072,2016,6,1,2022,2022-08-20,0,0,27.5,533,4,1,2021-11-29,1,1301,1,1,NA,NA,NA,NA,232,3,2021-08-01,121,0.14178750771945828,NA,NA,NA,3,1,NA,NA,177.37527953670946,2.56205737704918,35,273.92321174858574,2.249063476070529,80,527.6341463414634,26.993827160493826,1.249074074074074,0.11155473367358151,98,75,51,41,0.5466666666666666,0.5204081632653061,0.2692307692307692
1072,2016,7,1,2023,2023-08-27,0,0,27.75,541,3,1,2023-01-08,1,1400,1,2,2023-10-31,09-2024,NA,NA,239,4,2022-08-01,161,-0.12196520838373667,0.14178750771945828,27.5,0.25,2,3,NA,NA,162.87619910283547,2.1164036885245903,42,286.9291877408587,2.515586347607053,53,523.2471910112359,26.03370786516854,0.9941860465116279,-0.11745200079661877,109,86,30,51,0.5930232558139535,0.27522935779816515,0.5204081632653061
1072,2016,8,1,2024,2024-10-09,0,0,30.75,544,3,1,2024-01-15,1,1460,1,2,NA,NA,NA,NA,283,4,2023-08-01,168,0.9678074622019313,-0.12196520838373667,27.75,3,2,2,NA,NA,155.6717976444743,2.326091836734694,27,NA,2.556777844311377,8,515.5121951219512,25.682926829268293,1.4038461538461537,0.10466102027792984,107,91,0,64,0.7032967032967034,0,0.27522935779816515
1074,NA,NA,0,2018,2018-08-26,0,0,31,568,3,1,2018-01-13,2,1103,1,1,NA,NA,1,0,238,NA,2017-08-01,166,-0.013502668372684056,-0.13006952248134054,30.25,0.75,3,NA,52,37822,149.8034028750089,2.511754098360656,38,269.77408324716487,2.062046717171717,65,531.8,26.651234567901234,0.3769230769230769,-0.2334322330272324,108,67,24,41,0.6119402985074627,0.2222222222222222,0.17557251908396945
1074,NA,NA,0,2019,2019-08-13,0,0,30.25,564,3,0,NA,NA,NA,NA,NA,NA,NA,1,0,225,NA,2018-08-01,NA,-0.13006952248134054,NA,NA,NA,0,3,50,37805,NA,NA,NA,NA,NA,NA,526.8585858585859,26.0855,0.2431818181818182,-0.25464313554660745,115,76,39,25,0.32894736842105265,0.3391304347826087,0.2222222222222222
1074,NA,NA,0,2020,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,1,0,NA,NA,2019-08-01,NA,NA,-0.013502668372684056,31,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,529.2368421052631,26.63157894736842,0.7916666666666666,-0.1076177945333582,108,73,33,39,0.5342465753424658,0.3055555555555556,0.3391304347826087
1079,2017,3,1,2020,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,3,2019-08-01,NA,NA,-0.019578796096836923,28.75,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,529.2368421052631,26.63157894736842,0.7916666666666666,-0.1076177945333582,108,73,33,39,0.5342465753424658,0.3055555555555556,0.3391304347826087
1079,2017,4,1,2021,NA,0,NA,NA,NA,NA,1,NA,2,1294,1,1,NA,NA,NA,NA,NA,3,2020-08-01,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,527.4727272727273,26.436363636363637,0.6214285714285714,-0.11304735936777774,104,75,28,39,0.52,0.2692307692307692,0.3055555555555556
